attack_id,strike_id,date,avg_total,avg_civcas,avg_children,avg_injured
TOT486,PAKOB305,2012-12-29,4.5,0,0,2
TOT487,YEM115,2013-01-01,1,0,0,0
TOT488,PAKOB306,2013-01-02,8.5,0,0,0
TOT489,PAKOB307,2013-01-03,4.5,0,0,1
TOT490,YEM116,2013-01-04,3,0,0,0
TOT491,PAKOB308,2013-01-06,13,0,0,5
TOT492,PAKOB309,2013-01-08,6.5,1,0.5,2.5
TOT493,PAKOB310,2013-01-08,4.5,0,0,2.5
TOT494,PAKOB311,2013-01-10,4.5,0,0,0
TOT495,YEM117,2013-01-19,0,0,0,0
TOT496,YEM118,2013-01-19,3,1.5,0,0
